rev_Mean,mou_Mean,totmrc_Mean,roam_Mean,change_mou,change_rev,churn,months,uniqsubs,actvsubs,new_cell,totcalls,totmou,totrev,area,phones,hnd_webcap,income,creditcd,Customer_ID
"79,39",848,"69,99",0,-80,"4,6",0,53,2,2,U,6889,16377,"3106,82",NEW YORK CITY AREA,6,WCMB,6,Y,1000177
"90,8975",1710,75,0,-922,"-15,8975",1,55,3,3,Y,56824,98938,"5100,74",CENTRAL/SOUTH TEXAS AREA,6,WCMB,5,Y,1000178
"284,9325","3794,25",75,0,"437,75","37,8375",1,51,1,1,N,42111,"107547,05","7369,29",DALLAS AREA,8,WCMB,6,Y,1000179
"64,105","135,25",60,0,"-55,25","-0,405",1,53,1,1,Y,33194,"78886,78667","7974,17",HOUSTON AREA,4,NA,6,Y,1000180
"103,16","865,5","37,5","41,31","-100,5","-48,16",0,49,1,1,Y,12623,"29886,03667","3321,54",MIDWEST AREA,4,WCMB,5,Y,1000181
"164,14",1410,75,"0,905",-520,"-69,67",1,51,1,1,N,17183,"41620,65667","4987,4",DALLAS AREA,3,WCMB,7,Y,1000182
"117,12","489,5","69,99",0,"506,5","133,83",1,51,6,2,Y,7864,23412,"2558,26",NORTHWEST/ROCKY MOUNTAIN AREA,3,WCMB,2,N,1000183
"8,075",34,5,"0,4875",5,"-2,295",1,49,1,1,N,15289,"32015,03667","3204,4",SOUTHWEST AREA,4,WCMB,5,Y,1000184
"41,2925",71,"39,98","1,3125",-21,"-1,3125",0,53,1,1,Y,1842,3295,"1822,44",MIDWEST AREA,6,WCMB,6,Y,1000185
"87,3175","937,75",75,0,"-499,75","-6,0675",1,53,2,2,N,13157,"35779,49","3916,11",CENTRAL/SOUTH TEXAS AREA,9,WCMB,,Y,1000186
"29,8875","98,5","36,285",0,"35,5","0,1025",0,51,1,1,Y,1577,3059,"1297,56",MIDWEST AREA,3,WCMB,7,Y,1000187
"93,46","1097,5",75,0,"-359,5","-13,13",1,49,1,1,N,18890,"46903,43","4272,38",DALLAS AREA,2,WC,9,Y,1000188
"111,9375","2060,5",85,0,"-753,5","-18,2975",0,55,3,2,Y,50044,"107198,0167","6956,08",DALLAS AREA,7,WC,1,Y,1000189
"105,7025","636,25",53,"1,0025","-397,25","-35,7825",0,55,2,2,Y,9821,22135,"4393,01",CENTRAL/SOUTH TEXAS AREA,4,WCMB,1,Y,1000190
"180,225",3559,"149,99",0,-149,"-11,385",1,55,3,2,N,32793,93695,"8127,27",TENNESSEE AREA,10,WC,,N,1000191
"41,085",340,"34,98",0,-154,"-4,125",1,49,1,1,Y,2878,"9775,053333","2004,44",NORTHWEST/ROCKY MOUNTAIN AREA,1,NA,4,Y,1000192
"92,1275","852,5",75,"5,195","65,5","2,1825",1,51,2,2,N,16861,"38139,25333","4286,46",DALLAS AREA,4,WCMB,5,Y,1000193
"173,6675","464,5","159,99",0,"-224,5","7,9725",1,55,2,2,Y,15839,39970,"5731,79",NEW YORK CITY AREA,9,WCMB,6,Y,1000194
15,0,15,0,0,0,1,51,1,1,Y,1528,"3623,02","1650,41",DALLAS AREA,1,NA,6,Y,1000195
"46,935",287,30,"0,32",-57,"-13,965",0,55,1,1,N,9411,"15246,02","2773,73",NEW ENGLAND AREA,4,NA,,N,1000196
"139,2925","2023,5",75,0,"-80,5","59,1175",1,49,2,2,N,46039,"97840,04","6237,25",DALLAS AREA,9,NA,9,Y,1000197
"35,305","35,25","34,99",0,"-24,25","-0,315",1,49,2,2,N,497,1186,"1547,93",DALLAS AREA,1,NA,6,Y,1000198
"13,25",0,10,0,0,0,1,55,2,2,N,1005,3320,"1293,48",NEW ENGLAND AREA,2,NA,7,Y,1000199
"166,4275","2745,5",83,0,"-370,5","-28,3875",0,51,2,2,N,78825,"125485,1867","8233,95",CENTRAL/SOUTH TEXAS AREA,5,WCMB,6,Y,1000200
"27,5275",24,25,0,-24,"-3,7775",1,49,1,1,Y,1006,1942,"1450,25",NEW YORK CITY AREA,1,NA,9,Y,1000201
"75,125","1386,5",75,0,"183,5","-0,125",1,55,2,2,Y,33091,"75100,02","4678,5",HOUSTON AREA,5,WCMB,9,Y,1000202
"44,96","3584,25","58,785",0,"-1037,25","124,88",1,51,2,1,N,41065,106177,"4807,11",CENTRAL/SOUTH TEXAS AREA,7,WCMB,4,Y,1000203
"28,725",50,"29,99","0,235",-12,"-0,235",1,51,1,1,N,460,1061,"1290,23",DALLAS AREA,2,WCMB,8,Y,1000204
"50,3075","485,25",50,0,"134,75","1,1825",0,53,1,1,N,11991,23846,"2824,1",OHIO AREA,4,WCMB,4,Y,1000205
"90,335","759,75",75,"1,03","-421,75","5,955",1,49,3,3,N,8372,"18510,10333","4052,8",CENTRAL/SOUTH TEXAS AREA,4,WC,,N,1000206
"50,5325","194,5",20,0,"102,5","19,8975",0,49,2,2,N,2136,"4813,03","1708,84",SOUTHWEST AREA,3,WCMB,7,Y,1000207
"23,5","18,5",5,0,"-18,5","-18,5",1,53,1,1,N,781,1856,"1398,75",SOUTHWEST AREA,1,NA,5,Y,1000208
"77,04",501,"44,99",0,-113,"5,95",1,53,1,1,N,1476,4954,"1458,61",GREAT LAKES AREA,9,NA,7,Y,1000209
"166,8175",3206,83,"15,855",265,"3,3925",0,49,3,3,Y,53619,"120999,05","7149,29",CENTRAL/SOUTH TEXAS AREA,8,WCMB,5,Y,1000210
"111,615",1161,"104,99",0,-43,"-6,625",0,55,1,1,Y,36892,"67399,05667","6179,28",HOUSTON AREA,8,WCMB,5,Y,1000211
"90,74","1155,5","89,99",0,"-4,5","3,15",0,51,2,1,Y,23924,"53022,4","4590,73",SOUTHWEST AREA,7,WCMB,4,Y,1000212
"133,62","1814,25",75,"11,34","-1421,25","-56,67",1,53,1,1,N,26140,65225,"3880,55",DALLAS AREA,10,WCMB,,N,1000213
"111,6975","143,25","107,49",0,"-36,25","-3,2175",1,53,2,2,Y,14395,"29672,36","4780,94",CENTRAL/SOUTH TEXAS AREA,1,NA,,N,1000214
"76,58","574,75",50,0,"623,25","45,86",1,49,3,3,N,1791,5387,"2463,19",CHICAGO AREA,1,NA,9,N,1000215
"101,49","1728,5",75,"2,19","320,5","-1,1",0,53,2,2,Y,13205,"27398,05","4224,85",TENNESSEE AREA,5,WCMB,9,Y,1000216
"33,52","26,25",30,0,"4,75","-0,27",0,49,1,1,Y,25453,"62538,00667","4066,9",TENNESSEE AREA,5,NA,,,1000217
"18,71","4,5","18,3875",0,"-4,5","-35,16",1,53,1,1,N,1027,"2132,15","1972,03",SOUTHWEST AREA,1,NA,9,Y,1000218
"52,29","812,25",50,0,"-125,25","-2,29",1,49,3,2,Y,26063,"35906,02","3085,92",SOUTHWEST AREA,10,WCMB,5,Y,1000219
"19,2375","1,25","19,99",0,"1,75","0,7425",1,51,1,1,N,72085,"102388,08","4599,14",SOUTHWEST AREA,10,WCMB,6,Y,1000220
"105,9175",1458,"84,99",0,36,"-17,4375",1,53,2,2,N,25580,"67355,11","4826,35",DALLAS AREA,3,WCMB,6,Y,1000221
"81,6025","149,25","73,9425","0,16","73,75","17,3975",0,53,3,0,N,1688,2716,"1799,83",DALLAS AREA,4,WCMB,,N,1000222
"101,65","174,25",75,0,"-78,25","23,9",1,51,1,1,U,10112,"39108,03","5139,24",DALLAS AREA,4,NA,,N,1000223
"85,5825",890,75,0,-217,"18,3375",1,49,6,4,N,36493,"59837,48","4437,82",DALLAS AREA,12,NA,5,Y,1000224
"1,56",,,,,,1,55,2,2,N,14702,"40689,04","3415,63",GREAT LAKES AREA,3,NA,5,Y,1000225
"17,145","0,75","16,99",0,"-0,75","-0,155",1,49,1,1,N,2765,"8004,05","2086,01",ATLANTIC SOUTH AREA,1,NA,8,N,1000226
"51,14",438,"49,99",0,73,"2,15",1,53,1,1,N,9479,"31269,05667","3709,8",HOUSTON AREA,1,NA,7,Y,1000227
"56,485",355,55,0,-171,"-1,485",1,49,1,1,Y,10995,"17078,02","2502,94",NEW ENGLAND AREA,2,NA,6,Y,1000228
"130,6925",2308,75,"2,275",667,"50,9975",1,51,2,2,Y,54976,"110529,08","5919,04",SOUTHWEST AREA,5,WCMB,5,Y,1000229
"87,5175",699,80,"2,78",-86,"-3,0675",0,55,1,1,N,31468,"56590,13333","4561,3",DALLAS AREA,5,WCMB,3,Y,1000230
"108,4175","1501,5",75,0,"88,5","-23,7875",1,49,1,1,N,23680,"65182,12667","5911,56",CENTRAL/SOUTH TEXAS AREA,6,WCMB,,N,1000231
"1,65",,,,,,1,49,1,1,N,62,105,"523,5",MIDWEST AREA,2,NA,1,N,1000232
"103,505",479,75,0,-166,"-14,165",0,53,2,2,Y,19242,"46888,07","5290,23",PHILADELPHIA AREA,11,WCMB,7,Y,1000233
"52,0575","352,25","52,5025","0,0975","482,75","27,7625",1,53,1,1,N,10632,28325,"3111,91",NORTHWEST/ROCKY MOUNTAIN AREA,4,WCMB,1,Y,1000234
"42,49","368,75","42,49",0,"-5,75",0,1,53,3,3,N,9265,"21567,03333","3077,4",OHIO AREA,5,WCMB,9,Y,1000235
"32,745","141,25",30,0,"29,75","2,205",1,49,2,1,N,22055,"44297,81333","4180,74",SOUTHWEST AREA,4,WC,5,N,1000236
"124,515","593,5","101,925",0,"133,5","-40,525",1,51,1,1,N,10286,23244,"1931,94",OHIO AREA,3,WCMB,6,Y,1000237
"134,2975","730,75","139,99",0,"-3,75","-1,0575",0,55,2,2,N,9230,"26166,99","4839,7",DALLAS AREA,4,WC,6,Y,1000238
"185,4975","3166,75",75,0,"75,25","14,2025",1,53,5,1,N,74039,"137951,9133","7864,56",DALLAS AREA,14,WCMB,7,Y,1000239
75,"1,5",75,0,"-1,5",0,0,55,2,2,Y,12550,29652,"4284,61",DALLAS AREA,2,WC,9,Y,1000240
"47,5","255,5",50,0,"-182,5",0,1,55,4,4,Y,16473,"30430,06","3280,96",SOUTHWEST AREA,3,WC,9,Y,1000241
"82,2375",605,50,"0,69",-137,"-4,7375",1,51,2,2,N,15841,25147,"3294,59",HOUSTON AREA,5,WCMB,6,Y,1000242
"114,4625",2035,75,0,511,"33,8575",1,53,1,1,N,29475,"67310,49667","4841,61",SOUTHWEST AREA,10,WCMB,,N,1000243
"34,395",399,"32,49","0,1725",151,"1,065",0,51,2,2,N,7352,"19719,2","2418,79",CENTRAL/SOUTH TEXAS AREA,5,WCMB,7,Y,1000244
"19,99","0,75","19,99",0,"-0,75",0,1,51,5,1,U,18657,"59255,24333","7918,65",NEW ENGLAND AREA,3,WC,8,Y,1000245
"53,69","143,5","49,99",0,"72,5","-0,45",0,49,3,1,Y,32064,50155,"3968,35",NORTHWEST/ROCKY MOUNTAIN AREA,6,WCMB,5,Y,1000246
"135,15","2489,25","84,99","4,875","-1597,25","-50,16",1,55,2,2,Y,80295,143007,"6820,52",CENTRAL/SOUTH TEXAS AREA,6,WC,2,Y,1000247
"74,735","240,75",70,0,"-69,75","1,485",1,51,1,1,N,8857,"23622,08667","3972,85",DALLAS AREA,3,WCMB,9,Y,1000248
"103,5025","585,5","79,0325",0,"-334,5","-25,5125",1,49,1,1,N,4655,"8821,32","2498,57",DALLAS AREA,2,WCMB,6,N,1000249
"94,9925","1204,5",85,"0,2925","-784,5","-6,5925",0,51,5,5,Y,39187,"74358,02","5974,87",HOUSTON AREA,10,WCMB,,N,1000250
"178,035",1755,"57,12","2,6325",-1754,"-134,795",1,55,1,1,N,40397,"115477,92","10160,96",SOUTHWEST AREA,2,WCMB,5,Y,1000251
"180,115","496,75","154,99","21,625","-449,75","-22,135",1,49,1,1,N,9634,28030,"7639,59",DALLAS AREA,10,WCMB,8,Y,1000252
"29,99","18,25","29,99",0,"-4,25",0,0,51,1,1,N,1963,2987,"2330,92",TENNESSEE AREA,1,NA,6,Y,1000253
"83,64",838,"84,99","0,195",-111,"2,67",0,51,2,2,Y,12905,"30634,32333","3601,46",MIDWEST AREA,6,WCMB,8,N,1000254
"104,4475","1250,5",75,"4,345","-538,5","2,6725",1,48,2,1,N,35148,"84028,47333","6572,7",SOUTHWEST AREA,4,WCMB,7,Y,1000255
"50,6875",145,"49,99",0,102,"0,2925",1,48,3,2,Y,3930,"7950,096667","2561,87",GREAT LAKES AREA,3,NA,7,Y,1000256
"78,6375","960,75",75,"0,39","-54,75","-3,2475",1,51,6,5,N,29914,59143,"3986,52",DALLAS AREA,3,WCMB,9,Y,1000257
"75,7875","1099,75",75,0,"343,25","0,2625",1,53,4,2,N,16481,"47415,02","3200,6",DALLAS AREA,4,WCMB,8,Y,1000258
"37,0575","371,75","39,99","0,195","74,25","14,1825",1,51,3,1,U,15735,"31841,04","2633,29",CENTRAL/SOUTH TEXAS AREA,4,WCMB,,N,1000259
"38,4775","135,5","16,1225",0,"-135,5","-48,9575",1,55,1,1,N,2533,5143,"1477,52",NEW ENGLAND AREA,1,NA,9,Y,1000260
"88,7075","2214,75","84,99","4,7175","374,25","-12,4675",0,53,1,1,N,14255,49459,"3600,87",DALLAS AREA,3,WCMB,6,Y,1000261
"79,875","1085,5",75,0,"111,5","4,875",1,51,3,2,N,13927,"29169,16333","3099,1",SOUTHWEST AREA,5,WC,7,Y,1000262
"96,45","1027,25",50,0,"-159,25","-28,91",0,53,1,1,Y,20314,"39115,76","3488,23",SOUTHWEST AREA,1,NA,7,Y,1000263
"77,8075",503,"63,3375",0,-126,"-12,8675",0,53,2,1,N,17679,42448,"4342,88",MIDWEST AREA,9,WCMB,,N,1000264
"50,575","432,25",50,0,"138,75","1,725",0,55,2,1,N,5245,17771,"2795,87",CENTRAL/SOUTH TEXAS AREA,4,WCMB,7,Y,1000265
"191,5625",1283,"67,74","15,7275",227,"12,2975",1,48,2,2,U,4634,10461,"1702,37",OHIO AREA,5,WCMB,6,Y,1000266
"92,115","79,5","94,99",0,"-61,5","-5,325",1,50,3,2,Y,12215,"34383,09","4546,29",MIDWEST AREA,4,WC,5,Y,1000267
"269,2825","1821,25","62,9775",0,"-1298,25","-324,3025",1,52,1,1,N,33550,"69206,03333","5950,05",CENTRAL/SOUTH TEXAS AREA,4,WCMB,,N,1000268
"33,54",656,"44,99",0,13,"-0,3",1,48,3,2,Y,15898,"54832,14333","3750,49",CENTRAL/SOUTH TEXAS AREA,7,WCMB,9,Y,1000269
"96,09","889,75","84,99",0,"-510,75","-21,1",1,53,3,1,Y,26258,62200,"4779,75",MIDWEST AREA,2,NA,1,Y,1000270
"63,2975","414,75","44,99","1,47","156,25","37,9825",1,50,3,1,N,4594,"11551,12333","2497,87",SOUTHWEST AREA,4,WCMB,7,Y,1000271
"48,985","188,5","49,99",0,"110,5","-8,995",1,50,1,1,Y,2816,5441,"987,55",CHICAGO AREA,4,WCMB,1,Y,1000272
"41,05","264,25",35,0,"-104,25","-6,05",1,52,1,1,Y,7789,24355,"3202,98",SOUTH FLORIDA AREA,3,WC,9,Y,1000273
121,"1332,75",75,0,"-232,75",-46,0,54,2,2,N,40653,70637,"4691,51",TENNESSEE AREA,14,WCMB,6,Y,1000274
"125,2325",1104,60,"0,16",-431,"-34,2325",1,54,1,1,N,13128,"62265,14","5633,1",OHIO AREA,2,WCMB,2,Y,1000275
"22,6275","15,25","29,99",0,"-15,25","7,3625",1,48,2,2,N,963,2413,"1313,98",NORTHWEST/ROCKY MOUNTAIN AREA,1,NA,6,N,1000276
"39,5925","320,75",35,0,"10,25","-2,0025",1,48,2,2,N,3328,8769,"1934,78",MIDWEST AREA,2,NA,9,Y,1000277
"78,6375","434,5","69,99",0,"-254,5","-28,6475",1,54,1,1,U,16315,52035,4281,GREAT LAKES AREA,9,WCMB,4,Y,1000278
"316,4725",3148,75,0,997,"14,3375",1,50,2,2,N,32467,"107484,8333","8658,3",DALLAS AREA,2,WCMB,6,N,1000279
"30,27","325,75",30,0,"-153,75","-0,27",1,48,1,1,Y,7974,12701,"1775,28",DALLAS AREA,3,WC,4,Y,1000280
"29,99","14,5","29,99",0,"-14,5",0,1,50,1,1,N,1713,3962,"1700,46",MIDWEST AREA,1,NA,5,Y,1000281
"59,2625","1175,25","52,0375",0,"-1173,25","-29,2725",1,54,1,1,Y,36144,76125,"4948,25",DALLAS AREA,5,WCMB,9,Y,1000282
"33,5325",204,"29,99",0,39,"2,6775",1,54,2,2,U,12490,"33463,06667","4454,76",CENTRAL/SOUTH TEXAS AREA,7,WCMB,7,Y,1000283
"112,555","1107,25",83,0,"-1107,25","-26,305",1,50,1,1,Y,48680,"96269,56667","6235,64",CENTRAL/SOUTH TEXAS AREA,8,WCMB,,,1000284
"81,735","678,25",75,0,"179,75","-0,495",1,50,1,1,U,18270,"45755,03333","4212,09",SOUTHWEST AREA,7,WCMB,,N,1000285
"32,78",44,"32,49",0,-33,"-0,29",1,48,2,2,N,1708,3488,"2237,41",DALLAS AREA,4,NA,8,Y,1000286
"126,97","914,75","105,07","0,32","-411,75","-27,74",1,48,2,2,Y,13335,"47478,37667","4333,4",DALLAS AREA,5,WCMB,5,Y,1000287
"20,125","11,5",20,0,"5,5","3,375",0,54,1,1,Y,1144,2197,"1305,26",OHIO AREA,1,NA,6,Y,1000288
"49,99","772,25","59,99",0,"-512,25",0,0,52,1,1,N,11604,"32802,11333","3817,33",DALLAS AREA,5,NA,4,N,1000289
"30,7325","40,75","29,99",0,"-21,75","0,2475",1,50,1,1,Y,1350,"3795,186667","1473,06",NORTHWEST/ROCKY MOUNTAIN AREA,2,NA,9,Y,1000290
"56,24",229,50,0,-93,0,1,54,1,1,Y,8526,"21610,15333","3603,77",DALLAS AREA,2,NA,5,Y,1000291
75,"796,5",75,0,"28,5",0,1,52,1,1,Y,23549,34938,"3150,42",SOUTHWEST AREA,5,NA,1,Y,1000292
"83,495","1129,5",75,"0,2575","90,5","10,005",0,48,1,1,U,17545,"44559,03667","4561,23",OHIO AREA,4,WCMB,,N,1000293
"29,99","46,5","29,99",0,"20,5",0,1,52,1,1,N,575,1655,"1131,33",SOUTHWEST AREA,2,NA,6,Y,1000294
"53,69","477,75","59,99",0,"32,25","-0,45",0,48,3,3,U,9831,"22328,02","4413,02",MIDWEST AREA,7,WCMB,9,Y,1000295
"76,465",1262,75,0,-65,"-0,295",0,48,1,1,Y,21566,60025,"4231,28",CENTRAL/SOUTH TEXAS AREA,8,WCMB,6,Y,1000296
"54,5125","492,75",50,0,"132,25","1,4375",1,50,3,3,U,6122,10494,"2818,93",CENTRAL/SOUTH TEXAS AREA,6,WCMB,9,Y,1000297
10,0,10,0,0,0,1,54,1,1,N,3641,"11405,15","3048,34",NORTHWEST/ROCKY MOUNTAIN AREA,1,NA,3,Y,1000298
"85,315","194,5",75,0,"-51,5","-5,935",1,54,1,1,Y,60976,"112961,1167","8772,57",SOUTHWEST AREA,2,WC,8,Y,1000299
"161,8825","2746,25",75,"0,16","-359,25","-47,2825",0,48,1,1,N,34323,"83578,12","5637,34",HOUSTON AREA,4,WCMB,5,N,1000300
"159,04","2542,5",75,"9,56","-225,5","-19,36",1,48,5,4,N,54269,"92628,16667","5166,97",SOUTHWEST AREA,8,WC,4,Y,1000301
"92,3","1621,75",75,"0,195","-354,75","4,7",0,48,1,1,N,26835,"81144,07","4434,66",SOUTHWEST AREA,6,WCMB,6,Y,1000302
"45,7325",205,"41,99",0,67,"-0,0425",1,48,1,1,Y,2691,5517,"2194,11",SOUTHWEST AREA,2,NA,4,Y,1000303
"98,8175",1684,75,0,39,"-10,8675",0,50,1,1,N,18268,"66914,13667","4335,08",CENTRAL/SOUTH TEXAS AREA,4,WCMB,3,Y,1000304
"35,305",307,"34,99",0,204,"-0,315",0,48,1,1,U,2221,14628,"1769,34",DALLAS AREA,3,NA,6,Y,1000305
"50,285",197,50,0,64,"-0,135",1,50,2,2,Y,3073,"6565,12","2101,01",TENNESSEE AREA,5,WCMB,3,Y,1000306
"105,3675","1206,5",75,0,"134,5","9,8625",0,50,1,1,N,21418,"46919,82","4807,52",PHILADELPHIA AREA,5,WCMB,6,Y,1000307
"47,5","429,5",50,0,"-30,5","-7,5",1,54,1,1,Y,12681,"36184,88","3524,42",CENTRAL/SOUTH TEXAS AREA,2,WCMB,7,Y,1000308
"45,2325",287,"39,99",0,-3,"-11,9925",1,48,3,1,Y,12996,"32945,1","3680,56",PHILADELPHIA AREA,4,WC,5,Y,1000309
"105,7275","1610,75","92,99",0,"-253,75","-11,7475",0,48,4,3,U,32439,64480,"4981,19",CHICAGO AREA,9,WCMB,8,Y,1000310
"163,92","2379,5",75,"2,4025","-445,5","-23,86",1,48,1,1,Y,42006,"101256,4633","6208,5",SOUTHWEST AREA,9,WCMB,5,N,1000311
"51,625","409,25",50,0,"17,75","-1,625",0,50,1,1,N,9650,"25004,01667","2925,26",HOUSTON AREA,3,WCMB,9,Y,1000312
"35,2275","78,75","34,98",0,"36,25","-0,2475",1,50,4,1,N,3915,5524,"1402,83",DALLAS AREA,3,WCMB,6,Y,1000313
"70,57",811,58,0,354,"-11,37",1,50,2,2,N,14020,30179,"3140,37",CENTRAL/SOUTH TEXAS AREA,10,WCMB,3,Y,1000314
"86,25",0,83,0,0,0,1,50,5,4,Y,64778,"105123,4667","5844,21",CENTRAL/SOUTH TEXAS AREA,13,WCMB,6,Y,1000315
"150,75",2163,"76,5275","4,485",-45,"-2,72",1,54,1,1,N,19653,"64545,22667","5999,76",CENTRAL/SOUTH TEXAS AREA,8,WCMB,4,Y,1000316
"50,2875","178,75",50,0,"-85,75","-0,1375",1,50,1,1,N,7906,"21396,19333","2883,66",PHILADELPHIA AREA,2,NA,8,Y,1000317
"529,6275","5863,25","202,005","0,0975","105,75","-63,5975",0,52,1,1,N,77444,"174467,38","12719,22",CENTRAL/SOUTH TEXAS AREA,8,WCMB,2,Y,1000318
"72,9175","592,5","69,5575","0,0975","34,5","5,3325",1,52,3,1,N,18788,"43617,09","4085,68",NORTHWEST/ROCKY MOUNTAIN AREA,7,WCMB,6,Y,1000319
19,"7,25",19,0,"-1,25",0,0,52,1,1,Y,563,765,"1036,25",SOUTH FLORIDA AREA,2,NA,6,Y,1000320
"76,84","1461,25","74,99",0,"111,75","-1,55",0,48,1,1,Y,14457,44219,"3889,9",HOUSTON AREA,5,NA,3,N,1000321
"80,9725","1270,25","86,98",0,"327,75","0,2475",0,52,1,1,Y,24339,"77753,06333","6008,41",DALLAS AREA,8,WCMB,9,Y,1000322
"129,9225","1379,25",75,"2,17","70,75","31,7675",0,48,1,1,Y,27667,"69591,45333","5094,4",DALLAS AREA,5,WCMB,,N,1000323
"99,4175","1239,25","84,99",0,"634,75","69,7125",0,50,2,1,U,39205,"72848,36667","5394,27",SOUTHWEST AREA,7,WC,7,Y,1000324
"104,9775",1122,"87,48","4,05",86,"-8,3275",0,48,3,3,Y,13453,"42141,78","5093,85",MIDWEST AREA,9,WCMB,6,Y,1000325
"35,34","78,25",20,0,"34,75","8,98",1,48,1,1,Y,668,1828,"1322,21",OHIO AREA,1,NA,9,Y,1000326
"32,0225","362,5","32,49",0,"37,5","-1,1525",0,48,2,2,N,6033,"12578,30333","1971,57",DALLAS AREA,4,WCMB,9,Y,1000327
"74,09","456,75","79,99","1,4","-62,75","-14,1",0,52,4,4,U,8858,"19529,78","3220,3",DALLAS AREA,4,WCMB,7,Y,1000328
"77,6475","1051,25",50,0,"-341,25","-27,6475",0,52,1,1,Y,35739,"58142,03333","4326,05",SOUTHWEST AREA,3,WCMB,5,Y,1000329
"23,24","4,75","19,99",0,"1,25",0,1,50,1,1,Y,30604,"85758,20333","9037,68",HOUSTON AREA,5,WCMB,2,Y,1000330
"77,235","866,25",75,0,"-4,25","0,735",1,48,1,1,N,25956,"50989,48333","3425,81",CENTRAL/SOUTH TEXAS AREA,7,WCMB,4,Y,1000331
"111,385","767,25",75,0,"-243,25","2,655",0,48,1,1,U,35145,"72310,53667","5103,11",SOUTHWEST AREA,3,WCMB,5,N,1000332
"78,25","129,75",75,0,"-16,75",0,0,52,1,1,N,4694,8331,"4169,7",DALLAS AREA,6,WCMB,,N,1000333
"202,4825","1541,75","59,99",0,"-133,75","-9,6025",1,48,4,4,Y,18417,"35764,02","3519,07",HOUSTON AREA,6,WC,4,Y,1000334
"63,4825","439,25","29,99",0,"-17,25","12,4075",1,50,1,1,N,12521,"54130,05","4202,66",SOUTHWEST AREA,3,WCMB,6,Y,1000335
72,"621,75",70,0,"45,25","2,35",1,52,2,1,Y,8720,"17785,13333","3102,06",TENNESSEE AREA,3,WCMB,7,Y,1000336
"37,0225",62,30,0,44,"8,7175",1,48,1,1,N,551,1385,"1689,98",PHILADELPHIA AREA,1,NA,4,Y,1000337
"38,1675","214,5","29,99",0,"202,5","14,5725",1,48,1,1,N,3576,"7567,036667","1786,92",TENNESSEE AREA,3,NA,1,Y,1000338
"75,9225","281,75",75,0,"-281,75","-0,9225",1,48,1,1,N,4843,"23810,03667","3637,94",CENTRAL/SOUTH TEXAS AREA,2,NA,5,Y,1000339
"79,185","1148,75","84,99","0,195","-279,75","-0,195",0,54,1,1,Y,34112,"71579,38333","4798,47",DALLAS AREA,5,WCMB,6,Y,1000340
"112,675","2011,25","104,99",0,"3,75","-16,695",0,54,1,1,N,25330,"87422,01667",6648,MIDWEST AREA,8,WCMB,5,Y,1000341
"90,925",1560,75,0,-363,"-5,995",0,48,4,2,U,30847,"85122,19","5251,64",SOUTHWEST AREA,12,WCMB,7,Y,1000342
"145,1525","1133,5","149,99","0,4875","-50,5","2,2575",0,50,3,3,Y,24418,"90972,09","9504,92",MIDWEST AREA,3,WCMB,9,Y,1000343
"51,715","763,5","69,99",0,"-16,5","-1,725",0,48,1,1,N,12184,25041,"2735,6",HOUSTON AREA,4,NA,3,Y,1000344
"87,6225","1065,5",75,0,"-1,5","-12,6225",0,50,1,1,N,18957,42018,"3499,34",CENTRAL/SOUTH TEXAS AREA,3,WCMB,3,Y,1000345
"114,6925","794,75","119,99",0,"140,25","-0,7425",1,54,2,2,N,13934,"26534,13333","3396,97",MIDWEST AREA,1,NA,7,Y,1000346
"129,4325","1387,5","94,99",0,"547,5","58,9375",0,48,2,2,N,21688,"47535,42667","4643,68",DALLAS AREA,4,WCMB,6,Y,1000347
"33,63","68,25","29,99",0,"4,75","1,17",0,50,1,1,Y,1056,"2102,02","1424,26",CHICAGO AREA,3,WCMB,6,Y,1000348
"86,775","1320,75",75,"2,7","-580,75","-9,825",1,52,2,2,N,23362,"63366,03","4454,32",NORTHWEST/ROCKY MOUNTAIN AREA,3,NA,,N,1000349
"37,2",807,"37,5","0,975",,,1,54,1,1,U,34993,"85027,15333","4903,09",MIDWEST AREA,6,NA,6,Y,1000350
"67,1375","697,5","48,75",0,"322,5","20,6625",0,54,1,1,Y,12440,42193,"4011,96",MIDWEST AREA,6,WCMB,,N,1000351
"64,985","310,75","69,99",0,"-65,75","-1,035",1,48,3,2,U,8534,"20632,24333","2975,09",SOUTHWEST AREA,7,WCMB,7,Y,1000352
"99,0375",1112,"59,99",0,-265,"-28,9975",0,48,2,2,N,19331,"37185,52","3525,28",CENTRAL/SOUTH TEXAS AREA,7,WCMB,4,N,1000353
10,"6,5",10,0,"-6,5",0,1,54,1,1,Y,5363,15487,"1989,04",CENTRAL/SOUTH TEXAS AREA,3,NA,6,Y,1000354
"68,315","378,25",60,0,"13,75","6,435",0,48,1,1,U,14350,"24833,45","3153,28",HOUSTON AREA,8,WCMB,1,N,1000355
"49,2",173,"47,58",0,-120,"-8,88",0,50,1,1,Y,6296,"12995,31","2605,33",NORTHWEST/ROCKY MOUNTAIN AREA,3,WCMB,,N,1000356
"74,3675","585,25","80,8775",0,"76,75","-34,8375",0,52,1,1,N,11114,"32562,12","4058,92",NORTHWEST/ROCKY MOUNTAIN AREA,4,WCMB,7,Y,1000357
